Gene Id	Gene Name	Sample_78648	Sample_78650	Sample_78652	Sample_78654	Sample_78647	Sample_78649	Sample_78651	Sample_78653
Hcls1	Hcls1	102	74	74	95	12	39	22	19
Hcn1	Hcn1	858	605	906	908	1140	1045	1749	1656
Hcn2	Hcn2	3064	2487	3225	4102.01	1839	1424	1965	2060
Hcn3	Hcn3	590	485	679	749	203	219	315	362
Hcn4	Hcn4	168	150	159	218	255	199	313	370
Hcrt	Hcrt	6013	4533	6773	8781	592	385	442	532
Hcrtr1	Hcrtr1	231	174	230	252	20	29	49	45
Hcrtr2	Hcrtr2	231	207	258	248	96	115	123	138
Hcst	Hcst	5	1	3	2	2	4	0	0
Hdac1	Hdac1	1048	1005	1164	1257	425	423	535	556
Hdac10	Hdac10	225	170	181	225	95	89	112	114
Hdac11	Hdac11	16875	14812	17629	21100	3745	3341	3992	4472
Hdac2	Hdac2	3132	2847	3132	3758	1047	1003	1376	1431
Hdac3	Hdac3	3077	2796	3262	3830	599	805	826	837
Hdac4	Hdac4	310	239	251	352	1007	869	1266	1268
Hdac5	Hdac5	4270	3744	4527	5571	2456	2098	2804	3101
Hdac6	Hdac6	1413	1180	1500	1740	639	684	1010	944
Hdac7	Hdac7	1154	842	1243	1353	396	467	483	574
Hdac8	Hdac8	522	432	490	619	161	120	151	179
Hdac9	Hdac9	1063	772	922	1146	626	486	622	826
Hdc	Hdc	1451	1430	1378	1705	405	426	614	718
Hddc2	Hddc2	858	767	917	1066	214	146	170	205
Hddc3	Hddc3	1313	623	1923	1794	260	121	271	200
Hdgf	Hdgf	8007	6628	8985	9810	1822	1251	1395	1805
Hdgfl1	Hdgfl1	0	0	0	0	0	0	0	0
Hdgfrp2	Hdgfrp2	2700	2349	2692	3240	1138	1205	1353	1550
Hdgfrp3	Hdgfrp3	7874	6269	8461	9151	2377	1586	2298	2355
Hdhd1a	Hdhd1a	0	0	0	0	0	0	0	0
Hdhd2	Hdhd2	4409	3963	4487	5184	1091	733	899	1224
Hdhd3	Hdhd3	345	261	380	492	33	37	35	45
Hdlbp	Hdlbp	5129	4624	4861	6196	2919	2747	3947	3933
Hdx	Hdx	97	84	103	122	121	88	159	217
Heatr1	Heatr1	437	339	442	433	342	413	755	574
Heatr2	Heatr2	287	289	346	404	207	203	247	310
Heatr3	Heatr3	1194	975	1163	1501	270	247	332	377
Heatr5a	Heatr5a	625	548	702	750	335	374	393	507
Heatr5b	Heatr5b	971	842	817	1081	1279	1277	2041	2028
Heatr6	Heatr6	671	554	725	816	373	383	520	509
Heatr7a	Heatr7a	1550	1293	1477	1830	1192	1187	1848	1864
Heatr7b1	Heatr7b1	1	1	0	0	1	0	4	0
Heatr7b2	Heatr7b2	2	0	0	0	0	0	0	0
Heatr8	Heatr8	241	192	303	350	98	111	122	147
Hebp1	Hebp1	1073	835	1119	1312	123	133	134	156
Hebp2	Hebp2	455	362	437	472	91	69	80	85
Heca	Heca	1042	804	1096	1187	587	427	465	628
Hectd1	Hectd1	2283	2015	2257	2789	3454	4220	6461	6560
Hectd2	Hectd2	299	248	286	355	197	134	249	276
Hectd3	Hectd3	1747	1502	1718	2135	752	840	1154	1127
Hecw1	Hecw1	1557	1158	1354	1722	1689	1528	2539	2657
Hecw2	Hecw2	1106	962	1143	1354	895	694	1206	1469
Heg1	Heg1	110	85	108	171	474	705	546	598
Helb	Helb	122	99	129	140	88	127	122	110
Hells	Hells	96	78	86	84	75	63	68	76
Helq	Helq	429	345	501	521	191	138	212	245
Helt	Helt	0	0	0	0	0	0	0	0
Helz	Helz	532	454	495	558	1748	1605	2422	2549
Hemgn	Hemgn	0	0	3	0	0	1	0	3
Hemk1	Hemk1	519	405	600	702	109	133	148	146
Hemt1	Hemt1	0	0	0	0	0	0	0	0
Hepacam	Hepacam	2393	1870	2627	3091	1035	865	1079	1091
Hepacam2	Hepacam2	19	13	21	12	6	0	1	6
Heph	Heph	94	77	98	165	66	68	106	75
Hephl1	Hephl1	0	2	5	3	2	0	0	0
Herc1	Herc1	8627	7397	8566	9731	6520	6281	10569	11113
Herc2	Herc2	9261	8183	8034	10957	7276	6768	8927	10931
Herc3	Herc3	2948	2763	3184	3592	1465	1250	2151	2195
Herc4	Herc4	824	685	716	867	345	406	521	546
Herc6	Herc6	217	185	237	241	119	148	183	197
Herpud1	Herpud1	1701	1350	1721	2122	458	472	658	599
Herpud2	Herpud2	1270	1065	1303	1431	346	303	384	483
Hes1	Hes1	230	188	244	265	36	44	49	45
Hes2	Hes2	3	3	1	1	0	0	0	1
Hes3	Hes3	10	9	9	7	0	4	0	3
Hes5	Hes5	569	417	650	721	61	51	56	76
Hes6	Hes6	1125	967	1238	1393	164	143	149	181
Hes7	Hes7	26	31	38	40	3	3	7	4
Hesx1	Hesx1	4	1	2	0	0	0	0	0
Hexa	Hexa	806	708	914	1069	263	334	298	274
Hexb	Hexb	851	689	873	1064	267	215	345	312
Hexdc	Hexdc	690	623	807	900	192	279	313	358
Hexim1	Hexim1	3027	2618	3101	3847	736	482	605	727
Hexim2	Hexim2	1329	1133	1493	1786	286	224	260	287
Hey1	Hey1	1768	1483	1674	2036	302	184	217	302
Hey2	Hey2	306	276	291	323	108	106	82	127
Heyl	Heyl	918	810	965	1019	229	167	206	224
Hfe	Hfe	64	69	62	75	15	32	30	26
Hfe2	Hfe2	89	82	101	113	12	17	25	31
Hfm1	Hfm1	141	114	128	147	52	62	79	78
Hgd	Hgd	5	4	5	12	1	0	0	1
Hgf	Hgf	3	1	4	3	3	5	7	3
Hgfac	Hgfac	0	2	1	0	1	5	1	0
Hgs	Hgs	2052	1937	2114	2605	1416	1354	1933	2083
Hgsnat	Hgsnat	653	560	725	902	183	244	301	266
Hhat	Hhat	37	28	36	49	16	25	30	23
Hhatl	Hhatl	115	68	113	197	23	51	47	41
Hhex	Hhex	32	26	60	57	8	20	12	18
Hhip	Hhip	246	203	263	263	150	191	218	222
Hhipl1	Hhipl1	122	101	139	167	120	128	134	172
Hhipl2	Hhipl2	21	24	26	28	9	4	3	3
Hhla1	Hhla1	0	1	0	1	0	0	1	0
Hiat1	Hiat1	1512	1109	1583	1861	377	428	493	476
Hiatl1	Hiatl1	1340	1074	1387	1565	254	312	341	377
Hibadh	Hibadh	3094	2717	3225	3582	326	205	270	299
Hibch	Hibch	744	757	841	952	239	239	373	413
Hic1	Hic1	104	107	89	101	40	102	81	83
Hic2	Hic2	287	218	339	310	207	273	237	291
Hif1a	Hif1a	3072	2759	2882	3419	2081	2232	3112	3285
Hif1an	Hif1an	1284	1116	1358	1685	320	354	450	486
Hif3a	Hif3a	375	282	360	572	136	156	200	248
Higd1a	Higd1a	5695	4849	6384	6772	688	471	525	554
Higd1b	Higd1b	31	43	68	54	12	14	4	8
Higd1c	Higd1c	0.00277343	10.6356	11.7433	11.0434	4.56134	3	0.999947	0
Higd2a	Higd2a	2930	2459	3263	3576	288	193	189	229
Hilpda	Hilpda	208	211	223	247	16	10	18	23
Hils1	Hils1	0	1	1.00002	0	0	0	0	0
Hinfp	Hinfp	264	212	263	340	143	146	177	187
Hint1	Hint1	8942	7765	9950	10979	1529	1000	1247	1482
Hint2	Hint2	1109	934	1175	1455	140	114	103	152
Hint3	Hint3	270	225	305	349	227	118	200	230
Hip1	Hip1	1462	1260	1636	1791	824	917	1211	1279
Hip1r	Hip1r	1908	1863	2031	2418	1563	1883	2432	2349
